tps,suara_paslon_1,suara_paslon_2,suara_paslon_3
TPS_501,77,141,18
TPS_502,125,98,12
TPS_503,41,165,23
TPS_504,21,153,41
TPS_505,59,172,11
TPS_506,68,120,31
TPS_507,40,170,47
TPS_508,47,126,38
TPS_509,48,158,32
TPS_510,40,167,10
TPS_511,10,163,48
TPS_512,54,172,27
TPS_513,29,202,8
TPS_514,29,161,50
TPS_515,70,71,39
TPS_516,73,77,34
TPS_517,22,183,45
TPS_518,46,154,32
TPS_519,34,109,49
TPS_520,19,170,53
TPS_521,14,143,49
TPS_522,47,149,34
TPS_523,30,137,41
TPS_524,26,157,58
TPS_525,8,166,30
TPS_526,10,176,60
TPS_527,11,162,71
TPS_528,8,104,45
TPS_529,10,141,43
TPS_530,9,148,41
TPS_531,25,155,34
TPS_532,9,149,18
TPS_533,14,158,67
TPS_534,45,131,22
TPS_535,18,153,33
TPS_536,17,160,57
TPS_537,52,121,28
TPS_538,24,158,48
TPS_539,16,114,30
TPS_540,18,140,39
TPS_541,22,165,17
TPS_542,29,160,16
TPS_543,40,83,8
TPS_544,22,167,23
TPS_545,32,147,28
TPS_546,19,171,57
TPS_547,12,174,35
TPS_548,8,154,44
TPS_549,39,167,37
TPS_550,26,141,51
TPS_551,10,144,30
TPS_552,20,123,41
TPS_553,18,188,21
TPS_554,36,211,22
TPS_555,21,200,20
TPS_556,10,159,49
TPS_557,24,162,27
TPS_558,227,21,1
TPS_559,78,157,14
TPS_560,69,79,17
TPS_561,74,147,13
TPS_562,93,71,58
TPS_563,13,206,41
TPS_564,32,160,53
TPS_565,33,147,58
TPS_566,27,103,31
TPS_567,31,42,97
TPS_568,61,75,79
TPS_569,16,81,54
TPS_570,52,139,27
TPS_571,43,96,34
TPS_572,46,84,23
TPS_573,32,140,34
TPS_574,65,68,24
TPS_575,63,65,3
TPS_576,68,140,35
TPS_577,86,146,7
TPS_578,26,176,30
TPS_579,81,137,19
TPS_580,44,64,10
TPS_581,49,146,2
TPS_582,34,137,4
TPS_583,35,147,31
TPS_584,86,120,17
TPS_585,78,133,22
TPS_586,103,120,32
TPS_587,64,166,21
TPS_588,82,101,54
TPS_589,59,151,11
TPS_590,81,131,25
TPS_591,88,124,13
TPS_592,51,171,9
TPS_593,77,157,23
TPS_594,105,116,9
TPS_595,75,104,38
TPS_596,148,97,19
TPS_597,91,96,18
TPS_598,30,169,33
TPS_599,68,100,34
TPS_600,88,69,30
TPS_601,52,141,32
TPS_602,8,85,115
TPS_603,100,90,22
TPS_604,99,72,22
TPS_605,64,176,11
TPS_606,99,109,19
TPS_607,72,112,24
TPS_608,52,136,26
TPS_609,83,139,23
TPS_610,110,103,20
TPS_611,95,89,58
TPS_612,64,106,24
TPS_613,110,88,31
TPS_614,59,138,27
TPS_615,124,83,22
TPS_616,64,69,64
TPS_617,0,107,100
TPS_618,29,100,30
TPS_619,1,39,196
TPS_620,2,127,113
TPS_621,3,117,64
TPS_622,8,130,53
TPS_623,50,77,0
TPS_624,42,78,3
TPS_625,28,105,11
TPS_626,55,95,6
TPS_627,37,103,13
TPS_628,3,68,102
TPS_629,3,100,71
TPS_630,16,78,89
TPS_631,32,120,8
TPS_632,56,128,22
TPS_633,50,101,20
TPS_634,12,167,65
TPS_635,79,72,29
TPS_636,21,90,24
TPS_637,23,154,27
TPS_638,85,120,5
TPS_639,61,48,5
TPS_640,49,76,55
TPS_641,47,85,38
TPS_642,59,132,16
TPS_643,112,83,16
TPS_644,66,113,5
TPS_645,79,133,15
TPS_646,11,114,45
TPS_647,112,46,5
TPS_648,75,61,6
TPS_649,146,62,5
TPS_650,23,109,3
TPS_651,3,152,1
TPS_652,11,159,17
TPS_653,31,78,4
TPS_654,106,83,8
TPS_655,78,120,24
TPS_656,40,133,9
TPS_657,11,191,30
TPS_658,39,132,6
TPS_659,42,175,12
TPS_660,37,135,37
TPS_661,72,87,19
TPS_662,36,80,5
TPS_663,11,213,8
TPS_664,2,165,29
TPS_665,0,127,76
TPS_666,12,168,27
TPS_667,13,216,11
TPS_668,18,152,12
TPS_669,62,163,9
TPS_670,88,112,5
TPS_671,50,175,5
TPS_672,151,81,6
TPS_673,40,84,2
TPS_674,83,82,1
TPS_675,46,152,2
TPS_676,106,139,3
TPS_677,107,111,12
TPS_678,88,119,4
TPS_679,64,130,8
TPS_680,51,142,7
TPS_681,74,134,5
TPS_682,114,89,8
TPS_683,21,105,9
TPS_684,91,87,15
TPS_685,57,118,0
TPS_686,70,131,5
TPS_687,74,129,12
TPS_688,0,94,38
TPS_689,47,114,27
TPS_690,105,81,17
TPS_691,74,97,23
TPS_692,64,135,7
TPS_693,51,179,7
TPS_694,73,179,6
TPS_695,38,118,0
TPS_696,1,91,6
TPS_697,64,158,9
TPS_698,5,144,38
TPS_699,0,165,43
TPS_700,63,121,31
