TPS,Persentase Suara Sah Paslon 2
TPS_501,59.7458
TPS_502,41.7021
TPS_503,72.0524
TPS_504,71.1628
TPS_505,71.0744
TPS_506,54.7945
TPS_507,66.1479
TPS_508,59.7156
TPS_509,66.3866
TPS_510,76.9585
TPS_511,73.7557
TPS_512,67.9842
TPS_513,84.5188
TPS_514,67.0833
TPS_515,39.4444
TPS_516,41.8478
TPS_517,73.2
TPS_518,66.3793
TPS_519,56.7708
TPS_520,70.2479
TPS_521,69.4175
TPS_522,64.7826
TPS_523,65.8654
TPS_524,65.1452
TPS_525,81.3725
TPS_526,71.5447
TPS_527,66.3934
TPS_528,66.242
TPS_529,72.6804
TPS_530,74.7475
TPS_531,72.4299
TPS_532,84.6591
TPS_533,66.1088
TPS_534,66.1616
TPS_535,75.0
TPS_536,68.3761
TPS_537,60.199
TPS_538,68.6957
TPS_539,71.25
TPS_540,71.066
TPS_541,80.8824
TPS_542,78.0488
TPS_543,63.3588
TPS_544,78.7736
TPS_545,71.0145
TPS_546,69.2308
TPS_547,78.733
TPS_548,74.7573
TPS_549,68.7243
TPS_550,64.6789
TPS_551,78.2609
TPS_552,66.8478
TPS_553,82.8194
TPS_554,78.4387
TPS_555,82.9876
TPS_556,72.9358
TPS_557,76.0563
TPS_558,8.4337
TPS_559,63.0522
TPS_560,47.8788
TPS_561,62.8205
TPS_562,31.982
TPS_563,79.2308
TPS_564,65.3061
TPS_565,61.7647
TPS_566,63.9752
TPS_567,24.7059
TPS_568,34.8837
TPS_569,53.6424
TPS_570,63.7615
TPS_571,55.4913
TPS_572,54.902
TPS_573,67.9612
TPS_574,43.3121
TPS_575,49.6183
TPS_576,57.6132
TPS_577,61.0879
TPS_578,75.8621
TPS_579,57.8059
TPS_580,54.2373
TPS_581,74.1117
TPS_582,78.2857
TPS_583,69.0141
TPS_584,53.8117
TPS_585,57.0815
TPS_586,47.0588
TPS_587,66.1355
TPS_588,42.616
TPS_589,68.3258
TPS_590,55.2743
TPS_591,55.1111
TPS_592,74.026
TPS_593,61.0895
TPS_594,50.4348
TPS_595,47.9263
TPS_596,36.7424
TPS_597,46.8293
TPS_598,72.8448
TPS_599,49.505
TPS_600,36.8984
TPS_601,62.6667
TPS_602,40.8654
TPS_603,42.4528
TPS_604,37.3057
TPS_605,70.1195
TPS_606,48.0176
TPS_607,53.8462
TPS_608,63.5514
TPS_609,56.7347
TPS_610,44.206
TPS_611,36.7769
TPS_612,54.6392
TPS_613,38.4279
TPS_614,61.6071
TPS_615,36.2445
TPS_616,35.0254
TPS_617,51.6908
TPS_618,62.8931
TPS_619,16.5254
TPS_620,52.4793
TPS_621,63.587
TPS_622,68.0628
TPS_623,60.6299
TPS_624,63.4146
TPS_625,72.9167
TPS_626,60.8974
TPS_627,67.3203
TPS_628,39.3064
TPS_629,57.4713
TPS_630,42.623
TPS_631,75.0
TPS_632,62.1359
TPS_633,59.0643
TPS_634,68.4426
TPS_635,40.0
TPS_636,66.6667
TPS_637,75.4902
TPS_638,57.1429
TPS_639,42.1053
TPS_640,42.2222
TPS_641,50.0
TPS_642,63.7681
TPS_643,39.3365
TPS_644,61.413
TPS_645,58.5903
TPS_646,67.0588
TPS_647,28.2209
TPS_648,42.9577
TPS_649,29.108
TPS_650,80.7407
TPS_651,97.4359
TPS_652,85.0267
TPS_653,69.0265
TPS_654,42.132
TPS_655,54.0541
TPS_656,73.0769
TPS_657,82.3276
TPS_658,74.5763
TPS_659,76.4192
TPS_660,64.5933
TPS_661,48.8764
TPS_662,66.1157
TPS_663,91.8103
TPS_664,84.1837
TPS_665,62.5616
TPS_666,81.1594
TPS_667,90.0
TPS_668,83.5165
TPS_669,69.6581
TPS_670,54.6341
TPS_671,76.087
TPS_672,34.0336
TPS_673,66.6667
TPS_674,49.3976
TPS_675,76.0
TPS_676,56.0484
TPS_677,48.2609
TPS_678,56.3981
TPS_679,64.3564
TPS_680,71.0
TPS_681,62.9108
TPS_682,42.1801
TPS_683,77.7778
TPS_684,45.0777
TPS_685,67.4286
TPS_686,63.5922
TPS_687,60.0
TPS_688,71.2121
TPS_689,60.6383
TPS_690,39.9015
TPS_691,50.0
TPS_692,65.534
TPS_693,75.5274
TPS_694,69.3798
TPS_695,75.641
TPS_696,92.8571
TPS_697,68.3983
TPS_698,77.4194
TPS_699,79.3269
TPS_700,56.2791
